date,name,weight,std
2019-07-26T00:00:00Z,raisin,18.1875,NA
2019-07-26T00:00:00Z,simone,10.25,NA
2019-07-26T00:00:00Z,gagne,9,NA
2019-07-30T00:00:00Z,raisin,18.125,NA
2019-07-30T00:00:00Z,simone,10.25,NA
2019-07-30T00:00:00Z,gagne,8.75,NA
2019-08-04T00:00:00Z,raisin,18.1875,NA
2019-08-04T00:00:00Z,simone,10.375,NA
2019-08-04T00:00:00Z,gagne,8.6875,NA
2019-08-06T00:00:00Z,raisin,18.1875,NA
2019-08-06T00:00:00Z,simone,10.4375,NA
2019-08-06T00:00:00Z,gagne,8.8125,NA
2019-08-10T00:00:00Z,raisin,17.9375,NA
2019-08-10T00:00:00Z,simone,10.1875,NA
2019-08-10T00:00:00Z,gagne,8.75,NA
2019-08-14T00:00:00Z,raisin,7.9375,NA
2019-08-14T00:00:00Z,simone,10.4375,NA
2019-08-14T00:00:00Z,gagne,8.875,NA
2019-08-18T00:00:00Z,raisin,18,NA
2019-08-18T00:00:00Z,simone,10.25,NA
2019-08-18T00:00:00Z,gagne,8.6875,NA
2019-08-22T00:00:00Z,raisin,17.875,NA
2019-08-22T00:00:00Z,simone,10.375,NA
2019-08-22T00:00:00Z,gagne,8.5625,NA
2019-08-25T00:00:00Z,raisin,17.9375,NA
2019-08-25T00:00:00Z,simone,10.3125,NA
2019-08-25T00:00:00Z,gagne,8.375,NA
2019-08-28T00:00:00Z,raisin,17.8125,NA
2019-08-28T00:00:00Z,simone,10.3125,NA
2019-08-28T00:00:00Z,gagne,8.125,NA
2019-09-03T00:00:00Z,raisin,17.875,NA
2019-09-03T00:00:00Z,simone,9.875,NA
2019-09-03T00:00:00Z,gagne,NA,NA
2019-09-06T00:00:00Z,raisin,17.4375,NA
2019-09-06T00:00:00Z,simone,10.125,NA
2019-09-06T00:00:00Z,gagne,8,NA
2019-09-22T00:00:00Z,raisin,17.875,NA
2019-09-22T00:00:00Z,simone,9.9375,NA
2019-09-22T00:00:00Z,gagne,NA,NA
2019-09-25T00:00:00Z,raisin,17.625,NA
2019-09-25T00:00:00Z,simone,10.1875,NA
2019-09-25T00:00:00Z,gagne,NA,NA
2019-10-02T00:00:00Z,raisin,17.5625,NA
2019-10-02T00:00:00Z,simone,10.25,NA
2019-10-02T00:00:00Z,gagne,NA,NA
2019-10-07T00:00:00Z,raisin,17.5,NA
2019-10-07T00:00:00Z,simone,10.0625,NA
2019-10-07T00:00:00Z,gagne,NA,NA
2019-10-11T00:00:00Z,raisin,17.375,NA
2019-10-11T00:00:00Z,simone,10.25,NA
2019-10-11T00:00:00Z,gagne,NA,NA
2019-10-15T00:00:00Z,raisin,17.5625,NA
2019-10-15T00:00:00Z,simone,10.3125,NA
2019-10-15T00:00:00Z,gagne,NA,NA
2019-10-19T00:00:00Z,raisin,17.6875,NA
2019-10-19T00:00:00Z,simone,10.1875,NA
2019-10-19T00:00:00Z,gagne,NA,NA
2019-10-22T00:00:00Z,raisin,17.6875,NA
2019-10-22T00:00:00Z,simone,10.3125,NA
2019-10-22T00:00:00Z,gagne,NA,NA
2019-11-04T00:00:00Z,raisin,17.125,NA
2019-11-04T00:00:00Z,simone,9.125,NA
2019-11-04T00:00:00Z,gagne,NA,NA
2019-11-06T00:00:00Z,raisin,17.375,NA
2019-11-06T00:00:00Z,simone,9.625,NA
2019-11-06T00:00:00Z,gagne,NA,NA
2019-11-10T00:00:00Z,raisin,17.5625,NA
2019-11-10T00:00:00Z,simone,10,NA
2019-11-10T00:00:00Z,gagne,NA,NA
2019-11-17T00:00:00Z,raisin,17.3125,NA
2019-11-17T00:00:00Z,simone,9.75,NA
2019-11-17T00:00:00Z,gagne,NA,NA
2019-11-24T00:00:00Z,raisin,17.625,NA
2019-11-24T00:00:00Z,simone,9.875,NA
2019-11-24T00:00:00Z,gagne,NA,NA
2019-11-30T00:00:00Z,raisin,17.375,NA
2019-11-30T00:00:00Z,simone,9.75,NA
2019-11-30T00:00:00Z,gagne,NA,NA
2019-12-07T00:00:00Z,raisin,17.5,NA
2019-12-07T00:00:00Z,simone,9.875,NA
2019-12-07T00:00:00Z,gagne,NA,NA
2019-12-12T00:00:00Z,raisin,17.75,NA
2019-12-12T00:00:00Z,simone,10,NA
2019-12-12T00:00:00Z,gagne,NA,NA
2019-12-15T00:00:00Z,raisin,17.875,NA
2019-12-15T00:00:00Z,simone,10,NA
2019-12-15T00:00:00Z,gagne,NA,NA
2019-12-19T00:00:00Z,raisin,17.8125,NA
2019-12-19T00:00:00Z,simone,9.875,NA
2019-12-19T00:00:00Z,gagne,NA,NA
2019-12-30T00:00:00Z,raisin,17.8125,NA
2019-12-30T00:00:00Z,simone,9.875,NA
2019-12-30T00:00:00Z,gagne,NA,NA
2020-01-11T00:00:00Z,raisin,17.5625,NA
2020-01-11T00:00:00Z,simone,9.625,NA
2020-01-11T00:00:00Z,gagne,NA,NA
2020-01-13T00:00:00Z,raisin,17.625,NA
2020-01-13T00:00:00Z,simone,9.5625,NA
2020-01-13T00:00:00Z,gagne,NA,NA
2020-01-19T00:00:00Z,raisin,17.9375,NA
2020-01-19T00:00:00Z,simone,9.6875,NA
2020-01-19T00:00:00Z,gagne,NA,NA
2020-01-22T00:00:00Z,raisin,17.875,NA
2020-01-22T00:00:00Z,simone,9.8125,NA
2020-01-22T00:00:00Z,gagne,NA,NA
2020-01-29T00:00:00Z,raisin,18,NA
2020-01-29T00:00:00Z,simone,9.9375,NA
2020-01-29T00:00:00Z,gagne,NA,NA
2020-02-03T00:00:00Z,raisin,17.3125,NA
2020-02-03T00:00:00Z,simone,9.3125,NA
2020-02-03T00:00:00Z,gagne,NA,NA
2020-02-06T00:00:00Z,raisin,17.375,NA
2020-02-06T00:00:00Z,simone,9.625,NA
2020-02-06T00:00:00Z,gagne,NA,NA
2020-02-13T00:00:00Z,raisin,17.4375,NA
2020-02-13T00:00:00Z,simone,9.9375,NA
2020-02-13T00:00:00Z,gagne,NA,NA
2020-02-18T00:00:00Z,raisin,17.25,NA
2020-02-18T00:00:00Z,simone,9.25,NA
2020-02-18T00:00:00Z,gagne,NA,NA
2020-02-25T00:00:00Z,raisin,17.3125,NA
2020-02-25T00:00:00Z,simone,9.75,NA
2020-02-25T00:00:00Z,gagne,NA,NA
2020-03-04T00:00:00Z,raisin,17.5,NA
2020-03-04T00:00:00Z,simone,10.0625,NA
2020-03-04T00:00:00Z,gagne,NA,NA
2020-03-10T00:00:00Z,raisin,17.5,NA
2020-03-10T00:00:00Z,simone,10,NA
2020-03-10T00:00:00Z,gagne,NA,NA
2020-03-13T00:00:00Z,raisin,17.5,NA
